decay_0,dec_up_0,dec_dn_0,decay_1,dec_up_1,dec_dn_1,decay_2,dec_up_2,dec_dn_2,decay_3,dec_up_3,dec_dn_3,decay_4,dec_up_4,dec_dn_4,decay_5,dec_up_5,dec_dn_5,decay_6,dec_up_6,dec_dn_6,decay_7,dec_up_7,dec_dn_7,decay_8,dec_up_8,dec_dn_8,decay_9,dec_up_9,dec_dn_9,decay_10,dec_up_10,dec_dn_10,decay_11,dec_up_11,dec_dn_11,decay_12,dec_up_12,dec_dn_12,decay_13,dec_up_13,dec_dn_13,dec_tot,dec_tot_up,dec_tot_dn,J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n
6.4,6.2,4.5,3.6,3.7,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.2,5.2,2.5,0.5,2,3.3333333333333335,lam,2
0.6,0.7,0.4,0.3,0.4,0.2,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.0,0.5,0.5,1.5,2,3.3333333333333335,lam,2
2.7,2.6,1.9,0.5,0.5,0.4,0.3,0.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.8,2.0,1.5,1.5,2,3.3333333333333335,lam,2
5.7,5.6,4.0,0.8,0.8,0.6,0.5,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,5.2,1.1,0.0,0.0,0.0,8.0,7.7,4.2,2.5,1.5,2,3.3333333333333335,lam,2
8.0,7.9,5.6,1.4,1.4,1.0,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,26.8,8.5,0.0,0.0,0.0,18.2,28.0,10.2,3.5,1.5,2,3.3333333333333335,lam,2
0.4,0.4,0.3,0.3,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.5,0.3,0.5,0.5,0,3.3333333333333335,rpl,2
0.4,0.4,0.3,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.1,0.0,0.0,0.0,0.6,0.7,0.3,1.5,1.5,0,3.3333333333333335,rpl,2
0.2,0.2,0.1,1.2,1.2,0.9,0.9,0.9,0.6,3.6,3.5,2.5,5.8,9.5,5.3,0.0,0.0,0.0,1.3,1.2,0.9,0.6,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,10.3,6.0,0.5,0.5,0,3.3333333333333335,rpr,2
0.1,0.1,0.1,0.3,0.2,0.2,2.2,2.2,1.6,3.6,3.5,2.5,0.6,0.7,0.5,0.0,0.0,0.0,0.3,0.3,0.2,1.6,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,4.5,3.2,1.5,1.5,0,3.3333333333333335,rpr,2
0.0,0.0,0.0,8.9,8.7,6.2,64.5,68.1,45.9,23.4,51.8,23.4,0.0,0.0,0.0,0.0,0.0,0.0,3.8,4.0,2.7,20.7,25.8,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.4,89.9,54.3,1.5,0.5,2,3.3333333333333335,mix,2
0.0,0.0,0.0,57.0,56.7,39.5,5.5,6.0,3.9,6.2,11.4,5.9,0.0,0.0,0.0,0.0,0.0,0.0,14.2,15.5,10.1,1.9,2.3,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,60.2,41.4,2.5,0.5,2,3.3333333333333335,mix,2
0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.8,0.5,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.9,0.6,0.5,0.5,1,3.3333333333333335,mix,2
0.0,0.0,0.0,1.2,1.2,0.8,0.4,0.4,0.3,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.2,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.4,0.9,1.5,0.5,1,3.3333333333333335,mix,2
0.0,0.0,0.0,14.1,13.9,9.9,25.3,26.0,18.0,16.5,28.8,15.8,0.0,0.0,0.0,0.0,0.0,0.0,8.4,8.7,6.0,10.2,11.7,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5,43.7,27.6,0.5,0.5,0,3.3333333333333335,mix,2
28.0,28.3,19.7,19.7,19.6,13.8,20.6,20.1,14.4,33.9,33.2,23.8,61.7,107.5,59.5,0.0,0.0,0.0,8.8,8.6,6.2,12.7,12.6,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.3,120.4,70.8,1.5,0.5,2,3.3333333333333335,rho,2
61.1,60.9,43.3,53.6,53.6,38.0,7.1,7.6,5.1,3.3,4.3,2.4,12.7,20.6,11.4,0.0,0.0,0.0,23.0,23.1,16.3,3.1,3.4,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.9,87.3,61.3,2.5,0.5,2,3.3333333333333335,rho,2
24.0,27.9,17.6,0.6,1.3,0.6,33.2,33.6,23.7,47.7,48.2,34.0,4.9,7.8,4.4,0.0,0.0,0.0,0.3,0.5,0.3,19.7,20.3,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.4,68.6,47.4,0.5,1.5,2,3.3333333333333335,rho,2
31.7,31.7,22.5,5.4,5.4,3.8,36.2,35.1,25.6,91.2,88.6,64.5,10.2,13.8,8.2,0.0,0.0,0.0,2.3,2.3,1.7,24.1,23.4,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.2,104.2,75.5,1.5,1.5,2,3.3333333333333335,rho,2
45.9,44.9,32.5,11.4,11.2,8.1,32.3,31.4,22.9,55.0,53.3,39.0,7.7,9.1,5.9,0.0,0.0,0.0,5.1,4.9,3.6,20.7,20.2,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.1,80.5,58.5,2.5,1.5,2,3.3333333333333335,rho,2
77.3,76.9,53.9,16.2,16.1,11.3,38.6,41.1,27.2,78.0,87.2,55.2,4.8,7.6,3.9,0.0,0.0,0.0,7.1,7.1,5.0,18.4,20.3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.5,126.4,83.8,3.5,1.5,2,3.3333333333333335,rho,2
